geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1001,-23.55027123580127,-46.63404671419185,sao paulo,SP
1002,-23.547657125819924,-46.634990509252304,sao paulo,SP
1003,-23.548991491863838,-46.63565342364827,sao paulo,SP
1004,-23.54982914119189,-46.634792029508745,sao paulo,SP
1005,-23.549487008784876,-46.636650259509196,sao paulo,SP
1006,-23.550126527377728,-46.63604449748152,sao paulo,SP
1007,-23.549952554421758,-46.637155224969106,sao paulo,SP
1008,-23.545832387811174,-46.6357748568096,sao paulo,SP
1009,-23.546823244718247,-46.63646088115627,sao paulo,SP
1010,-23.546439302347167,-46.6352603933944,sao paulo,SP
1011,-23.546635787708862,-46.63541799110013,sao paulo,SP
1012,-23.54780758661154,-46.63484393782474,sao paulo,SP
1013,-23.547173615806592,-46.63423526618314,sao paulo,SP
1014,-23.546137052876432,-46.633596671856715,sao paulo,SP
1015,-23.547453278685847,-46.632179646940735,sao paulo,SP
1016,-23.549094879405775,-46.632111638548466,sao paulo,SP
1017,-23.5494556250812,-46.63130341133385,sao paulo,SP
1018,-23.55135443999642,-46.632762349404075,sao paulo,SP
1019,-23.55177981410472,-46.63078430228562,sao paulo,SP
1020,-23.55221160889089,-46.62974496093933,sao paulo,SP
1021,-23.542760509069844,-46.632068974809,sao paulo,SP
1022,-23.5447808268089,-46.632062988389954,sao paulo,SP
1023,-23.542476540346616,-46.63139551195831,sao paulo,SP
1024,-23.54129200852859,-46.62987363351742,sao paulo,SP
1025,-23.54030305184919,-46.63108692434232,sao paulo,SP
1026,-23.539639337473716,-46.63222383464826,sao paulo,SP
1027,-23.538098874534025,-46.630470961476426,sao paulo,SP
1028,-23.535907614948652,-46.63367067555855,sao paulo,SP
1029,-23.540574380051,-46.63312870430693,sao paulo,SP
1030,-23.54053667787656,-46.63306990093089,sao paulo,SP
1031,-23.541357903344544,-46.634942269447954,sao paulo,SP
1032,-23.53990660945406,-46.63510145091716,sao paulo,SP
1033,-23.53893715715918,-46.63600044111117,sao paulo,SP
1034,-23.542551059216198,-46.63731863312644,sao paulo,SP
1035,-23.54177194468869,-46.64130667638727,sao paulo,SP
1036,-23.541904904047385,-46.6409619849889,sao paulo,SP
1037,-23.545497041957123,-46.63913559488178,sao paulo,SP
1038,-23.543879126646612,-46.63995414482916,sao paulo,SP
1039,-23.54134179223615,-46.63909044885898,sao paulo,SP
1040,-23.541310361905325,-46.638710138593936,sao paulo,SP
1041,-23.54405267064933,-46.639868053701385,sao paulo,SP
1042,-23.544723647986945,-46.64061595961861,sao paulo,SP
1043,-23.545752314880374,-46.64148143916985,sao paulo,SP
1044,-23.545556845099416,-46.64150085333575,sao paulo,SP
1045,-23.54245035597841,-46.64271110763996,sao paulo,SP
1046,-23.545839270149788,-46.64372186587571,sao paulo,SP
1047,-23.546093892861713,-46.64094913993112,sao paulo,SP
1048,-23.547043330954565,-46.63977201362359,sao paulo,SP
1049,-23.547460308793546,-46.639581800897325,sao paulo,SP
1050,-23.54918448256682,-46.64305021047952,sao paulo,SP
1101,-23.528286860378213,-46.631957535031056,sao paulo,SP
1102,-23.52793336747173,-46.630953438055755,sao paulo,SP
1103,-23.53564448920883,-46.628957868399795,sao paulo,SP
1104,-23.534978869008448,-46.62930120414795,sao paulo,SP
1105,-23.534160979143845,-46.62904232881417,sao paulo,SP
1106,-23.53015603403614,-46.628127048753164,sao paulo,SP
1107,-23.527411272407093,-46.62818974523777,sao paulo,SP
1108,-23.527232171325494,-46.63035441819986,sao paulo,SP
1109,-23.524742023073763,-46.626928981251915,sao paulo,SP
1120,-23.529895160257514,-46.63965745419833,sao paulo,SP
1121,-23.52762513868473,-46.63496850363346,sao paulo,SP
1122,-23.531017520315153,-46.638888124388195,sao paulo,SP
1123,-23.52899885670685,-46.63644454327774,sao paulo,SP
1124,-23.52845189837515,-46.63334344848351,sao paulo,SP
1125,-23.526866449456545,-46.64047966426979,sao paulo,SP
1126,-23.527366250757087,-46.6396273090183,sao paulo,SP
1127,-23.525824306501317,-46.64204512454138,sao paulo,SP
1128,-23.523933247497844,-46.64261540204674,sao paulo,SP
1129,-23.523830364662437,-46.64380226016742,sao paulo,SP
1130,-23.524811963718196,-46.644911697855385,sao paulo,SP
1131,-23.522408353720177,-46.63910252673595,sao paulo,SP
1132,-23.52278406067285,-46.64841327400502,sao paulo,SP
1133,-23.519990916902305,-46.65377696841709,sao paulo,SP
1134,-23.519599841358772,-46.651460468483705,sao paulo,SP
